Date, Open, High, Low, Close, Volume
12/31/24, 4.47, 4.84, 4.47, 4.51, 63700
12/30/24, 4.23, 4.47, 4.23, 4.45, 119900
12/27/24, 4.50, 4.50, 4.13, 4.23, 77200
12/24/24, 4.10, 4.50, 4.10, 4.32, 500000
12/23/24, 4.01, 4.63, 4.01, 4.48, 133500
12/20/24, 4.25, 4.35, 4.05, 4.21, 120400
12/19/24, 4.00, 4.25, 4.00, 4.05, 20500
12/18/24, 4.10, 4.35, 4.00, 4.09, 2251900
12/17/24, 4.10, 4.10, 4.00, 4.07, 3700
12/16/24, 4.10, 4.10, 4.00, 4.05, 37100
12/13/24, 3.90, 4.30, 3.90, 4.09, 42700
12/11/24, 4.05, 4.35, 4.00, 4.13, 54300
12/10/24, 4.10, 4.24, 3.90, 4.05, 43300
12/09/24, 4.10, 4.20, 4.00, 4.01, 525900
12/06/24, 4.00, 4.10, 3.70, 4.04, 644200
12/05/24, 4.10, 4.10, 4.00, 4.02, 288600
12/04/24, 4.10, 4.10, 4.00, 4.07, 26000
12/03/24, 4.09, 4.10, 4.00, 4.03, 44100
12/02/24, 4.08, 4.10, 4.00, 4.09, 23700
11/29/24, 4.00, 4.05, 3.95, 4.00, 537500
11/28/24, 3.96, 4.00, 3.93, 3.96, 83900
11/27/24, 3.98, 4.25, 3.93, 3.96, 194900
11/26/24, 3.92, 4.10, 3.80, 3.93, 168300
11/25/24, 4.00, 4.00, 3.80, 3.92, 13900
11/22/24, 3.90, 4.00, 3.80, 3.90, 631800
11/21/24, 3.99, 4.00, 3.70, 3.96, 882400
11/20/24, 3.96, 4.00, 3.90, 3.97, 229400
11/19/24, 3.97, 4.00, 3.80, 3.96, 288700
11/18/24, 3.80, 3.97, 3.78, 3.82, 26700
11/15/24, 3.60, 3.96, 3.32, 3.78, 2328200
11/14/24, 3.95, 3.99, 3.60, 3.67, 670200
11/13/24, 4.00, 4.00, 3.92, 3.97, 40800
11/12/24, 3.97, 3.99, 3.90, 3.94, 69100
11/11/24, 4.00, 4.00, 3.85, 3.99, 78600
11/08/24, 4.00, 4.00, 3.80, 3.84, 33500
11/07/24, 4.00, 4.00, 3.80, 3.88, 76100
11/06/24, 4.00, 4.00, 3.80, 3.91, 78000
11/05/24, 4.20, 4.35, 3.92, 4.00, 114600
11/04/24, 4.26, 4.26, 3.96, 4.12, 926708.484649446
10/31/24, 4.26, 4.26, 3.97, 4.17, 2924573.62937773
10/30/24, 4.02, 4.02, 3.83, 3.96, 232363.963254747
10/29/24, 4.07, 4.07, 3.88, 3.99, 109789.066767477
10/28/24, 4.24, 4.26, 3.85, 3.96, 627985.008468832
10/25/24, 4.24, 4.32, 4.14, 4.28, 222959.509989775
10/24/24, 4.24, 4.24, 4.11, 4.15, 28319.0278091279
10/23/24, 4.26, 4.26, 4.07, 4.22, 80836.0308730702
10/22/24, 4.26, 4.32, 3.93, 4.26, 228348.578714647
10/18/24, 3.87, 4.26, 3.87, 4.18, 175514.571608065
10/17/24, 3.87, 4.12, 3.87, 4.05, 20393.9267431406
10/16/24, 3.97, 4.12, 3.87, 3.97, 69212.5493096222
10/15/24, 4.21, 4.21, 3.86, 4.00, 43323.8858273971
10/14/24, 3.97, 4.21, 3.90, 3.99, 92670.8484649446
10/11/24, 3.79, 4.06, 3.71, 3.94, 24620.6473116671
10/09/24, 3.93, 3.93, 3.79, 3.86, 33708.0965339992
10/08/24, 3.93, 3.93, 3.69, 3.78, 59068.4199451585
10/07/24, 3.93, 3.93, 3.79, 3.79, 23986.6392263882
10/04/24, 3.88, 3.88, 3.79, 3.81, 22929.9590842565
10/03/24, 3.88, 3.88, 3.80, 3.85, 3381.37645482124
10/02/24, 3.97, 3.97, 3.88, 3.89, 35293.1167471967
10/01/24, 4.06, 4.06, 3.87, 3.91, 9510.12127918473
09/30/24, 4.05, 4.06, 3.88, 4.01, 50720.6468223186
09/27/24, 4.07, 4.07, 4.04, 4.06, 17435.222345172
09/26/24, 4.15, 4.15, 4.04, 4.10, 42689.8777421181
09/25/24, 4.15, 4.15, 4.07, 4.10, 4121.05255431338
09/24/24, 4.02, 4.23, 4.02, 4.15, 13102.8337624323
09/23/24, 4.26, 4.26, 3.93, 4.20, 114861.131449709
09/20/24, 4.21, 4.26, 3.79, 4.15, 249587.849571493
09/19/24, 4.07, 4.26, 3.79, 4.21, 366985.013362317
09/18/24, 4.02, 4.07, 4.02, 4.05, 36032.7928466888
09/17/24, 3.88, 4.05, 3.69, 3.79, 529185.415179524
09/16/24, 3.90, 3.90, 3.88, 3.88, 739.676099492146
09/13/24, 3.90, 3.90, 3.90, 3.90, 10672.4694355295
09/12/24, 3.96, 4.19, 3.79, 4.01, 31172.0641928833
09/11/24, 3.79, 3.97, 3.79, 3.89, 6234.41283857666
09/10/24, 3.79, 3.97, 3.79, 3.81, 60547.7721441428
09/09/24, 3.56, 3.88, 3.38, 3.76, 192738.457924811
09/06/24, 4.13, 4.13, 3.40, 3.56, 61604.4522862744
09/05/24, 3.79, 3.79, 3.60, 3.77, 241134.40843444
09/04/24, 3.60, 3.78, 3.55, 3.61, 31489.0682355228
09/03/24, 3.67, 3.79, 3.66, 3.75, 33074.0884487202
09/02/24, 3.79, 3.79, 3.64, 3.75, 44591.9019979551
08/30/24, 3.93, 3.97, 3.69, 3.79, 306120.237175535
08/29/24, 4.14, 4.21, 3.97, 4.06, 143919.835358329
08/28/24, 3.92, 4.16, 3.92, 4.06, 70903.2375370328
08/27/24, 3.81, 3.88, 3.81, 3.88, 2430.36432690276
08/26/24, 3.93, 4.26, 3.87, 4.21, 1786740.45233038
08/23/24, 3.79, 4.26, 3.79, 4.25, 1536307.25864519
08/22/24, 3.60, 4.02, 3.50, 3.76, 157656.67720604
08/21/24, 3.92, 3.92, 3.60, 3.67, 15955.8701461877
08/20/24, 3.79, 4.07, 3.75, 3.81, 60125.1000872901
08/19/24, 4.21, 4.21, 3.79, 3.85, 71642.913636525
08/16/24, 4.12, 4.31, 4.12, 4.20, 208165.987999932
08/15/24, 4.25, 4.41, 4.11, 4.31, 124054.248686254
08/14/24, 4.23, 4.25, 3.79, 4.12, 92776.5164791577
08/13/24, 3.97, 4.16, 3.62, 3.99, 66570.8489542931
08/12/24, 3.93, 3.93, 3.83, 3.93, 16801.214259893
08/09/24, 3.91, 4.19, 3.88, 3.91, 28530.3638375542
08/08/24, 3.90, 4.17, 3.90, 3.92, 5706.07276751084
08/07/24, 3.88, 4.17, 3.88, 3.90, 78299.9985319543
08/06/24, 3.88, 3.90, 3.88, 3.89, 29375.7079512595
08/05/24, 4.01, 4.18, 3.79, 3.85, 18174.8984446642
08/02/24, 4.34, 4.34, 3.91, 4.01, 35821.4568182625
08/01/24, 4.33, 4.34, 4.02, 4.32, 2641.70035532909
07/31/24, 3.97, 4.34, 3.88, 4.06, 25677.3274537988
07/30/24, 3.94, 4.45, 3.93, 4.07, 15850.2021319746
07/29/24, 4.10, 4.26, 4.07, 4.07, 50403.6427796791
