Date, Open, High, Low, Close, Volume
12/31/24, 36.50, 36.50, 36.00, 36.25, 59400
12/30/24, 39.00, 39.00, 36.00, 36.40, 40800
12/27/24, 35.00, 36.10, 35.00, 35.85, 63700
12/24/24, 32.25, 34.90, 32.25, 32.85, 30100
12/23/24, 31.90, 32.50, 31.90, 32.10, 34700
12/20/24, 31.50, 32.45, 31.00, 31.75, 81100
12/19/24, 31.00, 32.00, 30.70, 31.95, 303500
12/18/24, 32.00, 32.00, 30.00, 30.30, 56300
12/17/24, 30.50, 30.50, 29.50, 30.10, 174000
12/16/24, 31.00, 32.00, 31.00, 31.80, 155900
12/13/24, 31.50, 32.25, 31.00, 31.90, 121200
12/11/24, 30.70, 31.00, 30.70, 30.95, 221100
12/10/24, 30.85, 30.95, 30.30, 30.70, 37800
12/09/24, 30.50, 31.00, 30.50, 30.85, 49200
12/06/24, 30.80, 30.90, 30.55, 30.75, 90300
12/05/24, 30.30, 30.60, 30.30, 30.50, 239200
12/04/24, 30.50, 30.50, 30.40, 30.50, 132900
12/03/24, 30.50, 30.50, 30.10, 30.50, 64900
12/02/24, 30.50, 30.50, 30.10, 30.45, 308300
11/29/24, 30.40, 30.50, 29.75, 30.10, 65900
11/28/24, 30.00, 30.85, 29.75, 30.05, 71000
11/27/24, 30.00, 30.40, 29.60, 29.75, 50200
11/26/24, 30.10, 30.50, 29.50, 30.00, 67500
11/25/24, 30.00, 30.90, 30.00, 30.10, 82600
11/22/24, 29.00, 30.95, 28.65, 29.85, 865600
11/21/24, 29.00, 29.00, 28.50, 28.55, 150100
11/20/24, 28.50, 30.00, 28.50, 28.80, 227300
11/19/24, 28.00, 28.35, 28.00, 28.10, 57900
11/18/24, 28.20, 28.25, 28.00, 28.10, 204000
11/15/24, 28.20, 28.20, 28.00, 28.15, 174800
11/14/24, 28.50, 28.50, 28.00, 28.30, 117000
11/13/24, 28.30, 28.95, 28.10, 28.45, 89700
11/12/24, 28.50, 28.50, 28.40, 28.50, 12700
11/11/24, 28.00, 28.50, 28.00, 28.05, 52600
11/08/24, 28.00, 28.50, 28.00, 28.00, 160900
11/07/24, 28.50, 28.50, 28.10, 28.25, 9100
11/06/24, 29.00, 29.00, 28.00, 28.45, 77400
11/05/24, 29.00, 29.00, 28.50, 28.75, 17800
11/04/24, 28.00, 28.90, 27.90, 28.00, 205100
10/31/24, 29.80, 29.90, 27.90, 28.10, 202100
10/30/24, 28.45, 29.90, 27.90, 28.70, 204300
10/29/24, 27.90, 30.00, 27.90, 28.45, 212900
10/28/24, 27.35, 28.00, 27.00, 27.30, 141700
10/25/24, 27.00, 27.70, 26.80, 27.45, 115600
10/24/24, 27.45, 27.45, 26.50, 26.90, 198200
10/23/24, 25.80, 27.50, 25.80, 26.70, 95500
10/22/24, 26.15, 26.50, 24.75, 25.95, 113800
10/18/24, 29.00, 29.00, 26.20, 27.45, 121400
10/17/24, 31.95, 31.95, 28.10, 29.10, 172600
10/16/24, 25.65, 32.00, 25.65, 29.40, 832300
10/15/24, 25.50, 25.50, 25.00, 25.05, 181100
10/14/24, 24.50, 26.00, 24.50, 25.65, 108300
10/11/24, 24.00, 24.80, 23.80, 24.00, 150500
10/09/24, 23.95, 24.00, 23.60, 24.00, 308700
10/08/24, 23.55, 23.90, 23.45, 23.55, 23400
10/07/24, 23.50, 23.55, 23.40, 23.55, 14700
10/04/24, 23.40, 23.50, 23.40, 23.45, 37600
10/03/24, 23.10, 23.50, 23.10, 23.40, 39900
10/02/24, 23.10, 23.60, 23.10, 23.50, 87300
10/01/24, 23.50, 23.60, 23.05, 23.55, 56700
09/30/24, 23.60, 23.60, 22.75, 23.50, 19800
09/27/24, 23.80, 23.80, 23.55, 23.60, 14700
09/26/24, 23.70, 23.80, 23.50, 23.60, 40700
09/25/24, 23.95, 23.95, 23.00, 23.70, 47400
09/24/24, 23.95, 23.95, 23.50, 23.85, 47500
09/23/24, 24.00, 24.00, 23.00, 23.90, 43400
09/20/24, 22.05, 24.00, 22.05, 23.55, 86300
09/19/24, 22.50, 23.95, 22.50, 22.90, 23200
09/18/24, 23.95, 24.00, 22.50, 23.75, 45200
09/17/24, 22.50, 23.60, 22.50, 23.50, 275700
