Date, Open, High, Low, Close, Volume
12/31/24, 47.00, 49.90, 47.00, 48.20, 10700
12/30/24, 47.50, 48.00, 46.80, 47.50, 6400
12/27/24, 48.00, 48.00, 47.50, 47.95, 22400
12/24/24, 46.90, 47.95, 46.70, 47.40, 9100
12/23/24, 45.60, 47.00, 45.60, 46.85, 10700
12/20/24, 48.00, 48.00, 45.60, 46.90, 96400
12/19/24, 47.50, 47.50, 46.50, 46.50, 33900
12/18/24, 45.55, 46.50, 45.55, 45.70, 297100
12/17/24, 45.00, 46.00, 45.00, 45.55, 74500
12/16/24, 45.00, 45.00, 44.00, 44.70, 157300
12/13/24, 44.90, 44.90, 44.45, 44.60, 24800
12/11/24, 44.00, 44.50, 43.50, 43.80, 113100
12/10/24, 46.00, 46.00, 43.00, 43.30, 124200
12/09/24, 43.45, 45.95, 42.75, 43.00, 51200
12/06/24, 44.40, 44.70, 43.75, 44.60, 43800
12/05/24, 43.00, 43.70, 42.25, 43.45, 191100
12/04/24, 42.00, 43.00, 41.95, 42.10, 26600
12/03/24, 42.50, 42.50, 41.60, 41.90, 14800
12/02/24, 42.50, 42.50, 42.00, 42.05, 18300
11/29/24, 43.95, 43.95, 42.00, 43.15, 95500
11/28/24, 42.00, 43.75, 42.00, 43.55, 28600
11/27/24, 43.00, 43.50, 42.00, 43.00, 34000
11/26/24, 41.05, 44.00, 41.05, 43.05, 16900
11/25/24, 43.00, 45.00, 40.00, 40.45, 135200
11/22/24, 44.00, 44.50, 43.50, 44.05, 6300
11/21/24, 44.50, 44.50, 44.00, 44.10, 2500
11/20/24, 44.00, 44.40, 43.70, 44.00, 241800
11/19/24, 43.95, 44.40, 43.95, 44.00, 27100
11/18/24, 43.70, 44.00, 43.70, 44.00, 186500
11/15/24, 43.80, 43.80, 43.50, 43.80, 85800
11/14/24, 43.80, 43.80, 43.60, 43.80, 49800
11/13/24, 43.40, 43.80, 42.95, 43.65, 139800
11/12/24, 43.80, 43.80, 43.30, 43.50, 23800
11/11/24, 44.00, 44.00, 43.50, 43.80, 30500
11/08/24, 43.30, 43.80, 43.00, 43.30, 30800
11/07/24, 44.00, 44.00, 43.00, 43.35, 33700
11/06/24, 45.00, 45.00, 43.50, 43.80, 939600
11/05/24, 44.00, 44.00, 43.80, 43.80, 262500
11/04/24, 44.30, 44.30, 42.50, 43.10, 80200
10/31/24, 44.00, 44.70, 43.50, 44.05, 141300
10/30/24, 44.70, 44.70, 44.00, 44.05, 55000
10/29/24, 44.70, 44.70, 44.00, 44.10, 30200
10/28/24, 44.70, 44.70, 43.90, 44.00, 78900
10/25/24, 44.80, 44.80, 43.60, 44.00, 29300
10/24/24, 44.00, 44.00, 43.70, 43.90, 46800
10/23/24, 44.00, 44.50, 43.50, 43.95, 11500
10/22/24, 43.00, 44.15, 43.00, 43.30, 6100
10/18/24, 44.50, 45.00, 43.60, 44.15, 32200
10/17/24, 44.50, 44.50, 43.00, 44.05, 50700
10/16/24, 47.00, 47.00, 42.10, 43.80, 55800
10/15/24, 44.25, 44.25, 43.95, 44.00, 57300
10/14/24, 44.40, 47.00, 43.95, 44.25, 57500
10/11/24, 44.00, 44.50, 43.10, 43.95, 8400
10/09/24, 44.00, 44.00, 44.00, 44.00, 5200
10/08/24, 44.00, 44.50, 41.75, 42.20, 91900
10/07/24, 44.30, 44.30, 44.00, 44.00, 29900
10/04/24, 44.50, 44.50, 43.65, 44.15, 7900
10/03/24, 43.65, 44.00, 43.65, 44.00, 6800
10/02/24, 44.00, 44.00, 43.50, 43.65, 4900
10/01/24, 42.70, 44.00, 42.10, 43.45, 36500
09/30/24, 42.40, 42.90, 42.40, 42.70, 3600
09/27/24, 43.00, 43.00, 42.40, 42.60, 2700
09/26/24, 42.50, 43.50, 42.00, 42.15, 31700
09/25/24, 41.05, 42.00, 41.00, 41.55, 20900
09/24/24, 41.55, 42.50, 41.00, 41.30, 12000
09/23/24, 42.00, 42.50, 41.10, 41.90, 4600
09/20/24, 41.00, 41.50, 41.00, 41.00, 175300
09/19/24, 41.00, 42.00, 41.00, 41.00, 644100
09/18/24, 42.95, 42.95, 41.00, 41.00, 110500
09/17/24, 40.20, 43.50, 40.00, 40.75, 12500
09/16/24, 40.25, 42.50, 40.00, 40.20, 8700
09/13/24, 40.60, 40.60, 39.50, 40.25, 193000
09/12/24, 42.45, 42.45, 40.10, 40.55, 33900
09/11/24, 44.45, 44.45, 43.50, 43.95, 12100
09/10/24, 44.45, 44.50, 44.20, 44.50, 318800
09/09/24, 44.50, 44.50, 44.40, 44.45, 9600
09/06/24, 43.10, 44.90, 43.10, 43.70, 27400
09/05/24, 45.00, 45.00, 43.05, 43.10, 85400
09/04/24, 44.50, 45.00, 44.00, 44.50, 8500
